operation_id,action_name,skill_package,method,path,platform,module,required_test_suites,tags
fetch_product_reviews_v1_api_v1_tiktok_shop_web_fetch_product_reviews_v1_get,tiktok.shop.web_fetch_product_reviews_v1,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_product_reviews_v1,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy|pagination_offset
fetch_product_reviews_v2_api_v1_tiktok_shop_web_fetch_product_reviews_v2_get,tiktok.shop.web_fetch_product_reviews_v2,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_product_reviews_v2,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy
fetch_products_by_category_id_api_v1_tiktok_shop_web_fetch_products_by_category_id_get,tiktok.shop.web_fetch_products_by_category_id,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_products_by_category_id,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy|pagination_offset
fetch_query_user_api_v1_douyin_web_fetch_query_user_post,douyin.web.fetch_query_user,skill-tikhub-douyin-family,post,/api/v1/douyin/web/fetch_query_user,douyin,web,unit|contract|integration|live_smoke|regression,post|json_body
fetch_scholar_search_v3_api_v1_zhihu_web_fetch_scholar_search_v3_post,zhihu.web.fetch_scholar_search_v3,skill-tikhub-video-community,post,/api/v1/zhihu/web/fetch_scholar_search_v3,zhihu,web,unit|contract|integration|live_smoke|regression,post|pagination_offset|json_body
fetch_school_search_api_v1_douyin_search_fetch_school_search_post,douyin.search.fetch_school_search,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_school_search,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_search_challenge_api_v1_douyin_web_fetch_search_challenge_post,douyin.web.fetch_search_challenge,skill-tikhub-douyin-family,post,/api/v1/douyin/web/fetch_search_challenge,douyin,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_search_products_list_api_v1_tiktok_shop_web_fetch_search_products_list_get,tiktok.shop.web_fetch_search_products_list,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_search_products_list,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy|pagination_offset
fetch_search_products_list_v3_api_v1_tiktok_shop_web_fetch_search_products_list_v3_get,tiktok.shop.web_fetch_search_products_list_v3,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_search_products_list_v3,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy|pagination_offset
fetch_search_suggest_api_v1_douyin_search_fetch_search_suggest_post,douyin.search.fetch_search_suggest,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_search_suggest,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_search_word_suggestion_api_v1_tiktok_shop_web_fetch_search_word_suggestion_get,tiktok.shop.web_fetch_search_word_suggestion,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_search_word_suggestion,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy
fetch_search_word_suggestion_v2_api_v1_tiktok_shop_web_fetch_search_word_suggestion_v2_get,tiktok.shop.web_fetch_search_word_suggestion_v2,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_search_word_suggestion_v2,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy
fetch_seller_products_list_api_v1_tiktok_shop_web_fetch_seller_products_list_get,tiktok.shop.web_fetch_seller_products_list,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_seller_products_list,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy
fetch_seller_products_list_v2_api_v1_tiktok_shop_web_fetch_seller_products_list_v2_get,tiktok.shop.web_fetch_seller_products_list_v2,skill-tikhub-global-social,get,/api/v1/tiktok/shop/web/fetch_seller_products_list_v2,tiktok,shop,unit|contract|integration|live_smoke|regression,special_runtime_policy
fetch_user_collection_videos_api_v1_douyin_web_fetch_user_collection_videos_post,douyin.web.fetch_user_collection_videos,skill-tikhub-douyin-family,post,/api/v1/douyin/web/fetch_user_collection_videos,douyin,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_user_collects_api_v1_douyin_web_fetch_user_collects_post,douyin.web.fetch_user_collects,skill-tikhub-douyin-family,post,/api/v1/douyin/web/fetch_user_collects,douyin,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_user_like_videos_api_v1_douyin_web_fetch_user_like_videos_post,douyin.web.fetch_user_like_videos,skill-tikhub-douyin-family,post,/api/v1/douyin/web/fetch_user_like_videos,douyin,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_user_search_api_v1_douyin_search_fetch_user_search_post,douyin.search.fetch_user_search,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_user_search,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_user_search_v2_api_v1_douyin_search_fetch_user_search_v2_post,douyin.search.fetch_user_search_v2,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_user_search_v2,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_video_search_v1_api_v1_douyin_search_fetch_video_search_v1_post,douyin.search.fetch_video_search_v1,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_video_search_v1,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_video_search_v2_api_v1_douyin_search_fetch_video_search_v2_post,douyin.search.fetch_video_search_v2,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_video_search_v2,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_vip_video_playurl_api_v1_bilibili_web_fetch_vip_video_playurl_post,bilibili.web.fetch_vip_video_playurl,skill-tikhub-video-community,post,/api/v1/bilibili/web/fetch_vip_video_playurl,bilibili,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_vision_search_api_v1_douyin_search_fetch_vision_search_post,douyin.search.fetch_vision_search,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_vision_search,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
follow_api_v1_tiktok_interaction_follow_post,tiktok.interaction.follow,skill-tikhub-global-social,post,/api/v1/tiktok/interaction/follow,tiktok,interaction,unit|contract|integration|live_smoke|regression,post|cookie_dependent|special_runtime_policy|json_body
forward_api_v1_tiktok_interaction_forward_post,tiktok.interaction.forward,skill-tikhub-global-social,post,/api/v1/tiktok/interaction/forward,tiktok,interaction,unit|contract|integration|live_smoke|regression,post|cookie_dependent|special_runtime_policy|json_body
generate_a_bogus_api_v1_douyin_web_generate_a_bogus_post,douyin.web.generate_a_bogus,skill-tikhub-douyin-family,post,/api/v1/douyin/web/generate_a_bogus,douyin,web,unit|contract|integration|live_smoke|regression,post|json_body
generate_x_bogus_api_v1_douyin_web_generate_x_bogus_post,douyin.web.generate_x_bogus,skill-tikhub-douyin-family,post,/api/v1/douyin/web/generate_x_bogus,douyin,web,unit|contract|integration|live_smoke|regression,post|json_body
generate_xbogus_api_v1_tiktok_web_generate_xbogus_post,tiktok.web.generate_xbogus,skill-tikhub-global-social,post,/api/v1/tiktok/web/generate_xbogus,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
generate_xgnarly_and_xbogus_api_v1_tiktok_web_generate_xgnarly_and_xbogus_post,tiktok.web.generate_xgnarly_and_xbogus,skill-tikhub-global-social,post,/api/v1/tiktok/web/generate_xgnarly_and_xbogus,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
generate_xgnarly_api_v1_tiktok_web_generate_xgnarly_post,tiktok.web.generate_xgnarly,skill-tikhub-global-social,post,/api/v1/tiktok/web/generate_xgnarly,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
get_account_health_status_api_v1_tiktok_creator_get_account_health_status_post,tiktok.creator.get_account_health_status,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_account_health_status,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_account_insights_overview_api_v1_tiktok_creator_get_account_insights_overview_post,tiktok.creator.get_account_insights_overview,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_account_insights_overview,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_account_violation_list_api_v1_tiktok_creator_get_account_violation_list_post,tiktok.creator.get_account_violation_list,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_account_violation_list,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_all_aweme_id_api_v1_douyin_web_get_all_aweme_id_post,douyin.web.get_all_aweme_id,skill-tikhub-douyin-family,post,/api/v1/douyin/web/get_all_aweme_id,douyin,web,unit|contract|integration|live_smoke|regression,post|json_body
get_all_aweme_id_api_v1_tiktok_web_get_all_aweme_id_post,tiktok.web.get_all_aweme_id,skill-tikhub-global-social,post,/api/v1/tiktok/web/get_all_aweme_id,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
get_all_sec_user_id_api_v1_douyin_web_get_all_sec_user_id_post,douyin.web.get_all_sec_user_id,skill-tikhub-douyin-family,post,/api/v1/douyin/web/get_all_sec_user_id,douyin,web,unit|contract|integration|live_smoke|regression,post|json_body
get_all_sec_user_id_api_v1_tiktok_web_get_all_sec_user_id_post,tiktok.web.get_all_sec_user_id,skill-tikhub-global-social,post,/api/v1/tiktok/web/get_all_sec_user_id,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
get_all_unique_id_api_v1_tiktok_web_get_all_unique_id_post,tiktok.web.get_all_unique_id,skill-tikhub-global-social,post,/api/v1/tiktok/web/get_all_unique_id,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
get_all_webcast_id_api_v1_douyin_web_get_all_webcast_id_post,douyin.web.get_all_webcast_id,skill-tikhub-douyin-family,post,/api/v1/douyin/web/get_all_webcast_id,douyin,web,unit|contract|integration|live_smoke|regression,post|json_body
get_creator_account_info_api_v1_tiktok_creator_get_creator_account_info_post,tiktok.creator.get_creator_account_info,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_creator_account_info,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_home_recommend_api_v1_xiaohongshu_web_get_home_recommend_post,xiaohongshu.web.get_home_recommend,skill-tikhub-douyin-family,post,/api/v1/xiaohongshu/web/get_home_recommend,xiaohongshu,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_ip_activity_list_api_v1_douyin_xingtu_v2_get_ip_activity_list_post,douyin.xingtu_v2.get_ip_activity_list,skill-tikhub-douyin-family,post,/api/v1/douyin/xingtu_v2/get_ip_activity_list,douyin,xingtu_v2,unit|contract|integration|live_smoke|regression,post|json_body
get_item_ids_api_v1_lemon8_app_get_item_ids_post,lemon8.app.get_item_ids,skill-tikhub-video-community,post,/api/v1/lemon8/app/get_item_ids,lemon8,app,unit|contract|integration|live_smoke|regression,post|json_body
get_live_overview_api_v1_tiktok_creator_get_live_analytics_summary_post,tiktok.creator.get_live_analytics_summary,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_live_analytics_summary,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_note_info_v5_api_v1_xiaohongshu_web_get_note_info_v5_post,xiaohongshu.web.get_note_info_v5,skill-tikhub-douyin-family,post,/api/v1/xiaohongshu/web/get_note_info_v5,xiaohongshu,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_playlet_actor_rank_catalog_api_v1_douyin_xingtu_v2_get_playlet_actor_rank_catalog_post,douyin.xingtu_v2.get_playlet_actor_rank_catalog,skill-tikhub-douyin-family,post,/api/v1/douyin/xingtu_v2/get_playlet_actor_rank_catalog,douyin,xingtu_v2,unit|contract|integration|live_smoke|regression,post|no_422_declared
get_product_analytics_list_api_v1_tiktok_creator_get_product_analytics_list_post,tiktok.creator.get_product_analytics_list,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_product_analytics_list,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_product_related_videos_api_v1_tiktok_creator_get_product_related_videos_post,tiktok.creator.get_product_related_videos,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_product_related_videos,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_recommend_for_star_authors_api_v1_douyin_xingtu_v2_get_recommend_for_star_authors_post,douyin.xingtu_v2.get_recommend_for_star_authors,skill-tikhub-douyin-family,post,/api/v1/douyin/xingtu_v2/get_recommend_for_star_authors,douyin,xingtu_v2,unit|contract|integration|live_smoke|regression,post|json_body
get_shortcut_api_v1_ios_shortcut_shortcut_get,ios_shortcut.root.shortcut,skill-tikhub-core,get,/api/v1/ios_shortcut/shortcut,ios_shortcut,root,unit|contract|integration|live_smoke|regression,no_auth|nonstandard_response|no_422_declared
get_showcase_product_list_api_v1_tiktok_creator_get_showcase_product_list_post,tiktok.creator.get_showcase_product_list,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_showcase_product_list,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_task_status_api_v1_sora2_get_task_status_get,sora2.root.get_task_status,skill-tikhub-experimental,get,/api/v1/sora2/get_task_status,sora2,root,unit|contract|integration|live_smoke|regression,special_runtime_policy
get_user_ids_api_v1_lemon8_app_get_user_ids_post,lemon8.app.get_user_ids,skill-tikhub-video-community,post,/api/v1/lemon8/app/get_user_ids,lemon8,app,unit|contract|integration|live_smoke|regression,post|json_body
get_user_info_api_v1_tikhub_user_get_user_info_get,tikhub.user.get_user_info,skill-tikhub-core,get,/api/v1/tikhub/user/get_user_info,tikhub,user,unit|contract|integration|live_smoke|regression,nonstandard_response|no_422_declared
get_video_analytics_summary_api_v1_tiktok_creator_get_video_analytics_summary_post,tiktok.creator.get_video_analytics_summary,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_video_analytics_summary,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_video_associated_product_list_api_v1_tiktok_creator_get_video_associated_product_list_post,tiktok.creator.get_video_associated_product_list,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_video_associated_product_list,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_video_audience_stats_api_v1_tiktok_creator_get_video_audience_stats_post,tiktok.creator.get_video_audience_stats,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_video_audience_stats,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_video_detailed_stats_api_v1_tiktok_creator_get_video_detailed_stats_post,tiktok.creator.get_video_detailed_stats,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_video_detailed_stats,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_video_list_api_v1_tiktok_creator_get_video_list_analytics_post,tiktok.creator.get_video_list_analytics,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_video_list_analytics,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
get_video_to_product_stats_api_v1_tiktok_creator_get_video_to_product_stats_post,tiktok.creator.get_video_to_product_stats,skill-tikhub-global-social,post,/api/v1/tiktok/creator/get_video_to_product_stats,tiktok,creator,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
health_check_api_v1_health_check_get,health.root.check,skill-tikhub-core,get,/api/v1/health/check,health,root,unit|contract|integration|live_smoke|regression,no_auth|nonstandard_response|no_422_declared
like_api_v1_tiktok_interaction_like_post,tiktok.interaction.like,skill-tikhub-global-social,post,/api/v1/tiktok/interaction/like,tiktok,interaction,unit|contract|integration|live_smoke|regression,post|cookie_dependent|special_runtime_policy|json_body
post_comment_api_v1_tiktok_interaction_post_comment_post,tiktok.interaction.post_comment,skill-tikhub-global-social,post,/api/v1/tiktok/interaction/post_comment,tiktok,interaction,unit|contract|integration|live_smoke|regression,post|cookie_dependent|special_runtime_policy|json_body
redirect_download_api_v1_tikhub_downloader_redirect_download_get,tikhub.downloader.redirect_download,skill-tikhub-core,get,/api/v1/tikhub/downloader/redirect_download,tikhub,downloader,unit|contract|integration|live_smoke|regression,no_auth|nonstandard_response|no_422_declared
reply_comment_api_v1_tiktok_interaction_reply_comment_post,tiktok.interaction.reply_comment,skill-tikhub-global-social,post,/api/v1/tiktok/interaction/reply_comment,tiktok,interaction,unit|contract|integration|live_smoke|regression,post|cookie_dependent|special_runtime_policy|json_body
sign_api_v1_xiaohongshu_web_sign_post,xiaohongshu.web.sign,skill-tikhub-douyin-family,post,/api/v1/xiaohongshu/web/sign,xiaohongshu,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
update_check_api_v1_tikhub_downloader_version_get,tikhub.downloader.version,skill-tikhub-core,get,/api/v1/tikhub/downloader/version,tikhub,downloader,unit|contract|integration|live_smoke|regression,no_auth|nonstandard_response|no_422_declared
upload_image_api_v1_sora2_upload_image_post,sora2.root.upload_image,skill-tikhub-experimental,post,/api/v1/sora2/upload_image,sora2,root,unit|contract|integration|live_smoke|regression,post|special_runtime_policy|multipart
